"local_electoral","fecha_recepcion_trep","codigo_candidatura","numero_mesa","numero_lista","total_votos","total_votantes","tiempo_estimado_hora"
"0_0_5_33","2023-04-30 17:47:46.671",1,4,1,158,308,15
"0_0_5_33","2023-04-30 17:47:46.671",1,4,911,41,308,15
"0_0_1_11","2023-04-30 17:47:49.34",1,8,3,97,306,15
"0_0_1_11","2023-04-30 17:47:49.34",1,8,911,45,306,15
"0_0_1_11","2023-04-30 17:47:49.34",1,8,1,142,306,15
"8_0_0_3","2023-04-30 17:47:50.504",1,6,1,134,306,15
"8_0_0_3","2023-04-30 17:47:50.504",1,6,911,28,306,15
"8_0_0_3","2023-04-30 17:47:50.504",1,6,3,131,306,15
"11_5_0_1","2023-04-30 17:47:57.932",1,35,911,62,305,15
"11_5_0_1","2023-04-30 17:47:57.932",1,35,1,176,305,15
"11_5_0_1","2023-04-30 17:47:57.932",1,35,3,45,305,15
"17_0_0_502","2023-04-30 17:48:03.556",1,1,1,242,368,18
"17_0_0_502","2023-04-30 17:48:03.556",1,1,3,70,368,18
"17_0_0_502","2023-04-30 17:48:03.556",1,1,911,19,368,18
"0_0_3_30","2023-04-30 17:48:14.961",1,8,3,70,344,17
"0_0_3_30","2023-04-30 17:48:14.961",1,8,1,221,344,17
"0_0_3_30","2023-04-30 17:48:14.961",1,8,911,34,344,17
"0_0_5_2","2023-04-30 17:48:42.538",1,9,1,176,313,15
"0_0_5_2","2023-04-30 17:48:42.538",1,9,3,74,313,15
"0_0_5_2","2023-04-30 17:48:42.538",1,9,911,46,313,15
"0_0_5_4","2023-04-30 17:48:48.582",1,5,911,36,316,15
"0_0_5_4","2023-04-30 17:48:48.582",1,5,3,71,316,15
"0_0_5_4","2023-04-30 17:48:48.582",1,5,1,186,316,15
"12_0_0_3","2023-04-30 17:49:01.992",1,9,3,84,311,15
"12_0_0_3","2023-04-30 17:49:01.992",1,9,1,150,311,15
"12_0_0_3","2023-04-30 17:49:01.992",1,9,911,57,311,15
"0_0_4_22","2023-04-30 17:49:38.779",1,4,3,99,302,15
"0_0_4_22","2023-04-30 17:49:38.779",1,4,1,162,302,15
"0_0_4_22","2023-04-30 17:49:38.779",1,4,911,28,302,15
"5_0_0_4","2023-04-30 17:49:42.927",1,4,3,81,302,15
"5_0_0_4","2023-04-30 17:49:42.927",1,4,1,184,302,15
"5_0_0_4","2023-04-30 17:49:42.927",1,4,911,27,302,15
"3_21_0_1","2023-04-30 17:50:11.637",1,10,3,105,301,15
"3_21_0_1","2023-04-30 17:50:11.637",1,10,911,34,301,15
"3_21_0_1","2023-04-30 17:50:11.637",1,10,1,154,301,15
"0_0_5_5","2023-04-30 17:50:13.678",1,6,911,57,313,15
"0_0_5_5","2023-04-30 17:50:13.678",1,6,3,56,313,15
"0_0_5_5","2023-04-30 17:50:13.678",1,6,1,174,313,15
"11_31_0_501","2023-04-30 17:50:17.187",1,1,3,83,302,15
"11_31_0_501","2023-04-30 17:50:17.187",1,1,911,57,302,15
"11_31_0_501","2023-04-30 17:50:17.187",1,1,1,146,302,15
"5_0_0_4","2023-04-30 17:50:48.187",1,8,911,22,306,15
"5_0_0_4","2023-04-30 17:50:48.187",1,8,3,90,306,15
"5_0_0_4","2023-04-30 17:50:48.187",1,8,1,184,306,15
"0_0_5_10","2023-04-30 17:50:50.369",1,4,1,172,315,15
"0_0_5_10","2023-04-30 17:50:50.369",1,4,3,100,315,15
"0_0_5_10","2023-04-30 17:50:50.369",1,4,911,27,315,15
"0_0_4_13","2023-04-30 17:50:59.576",1,1,1,154,307,15
"0_0_4_13","2023-04-30 17:50:59.576",1,1,911,21,307,15
"0_0_4_13","2023-04-30 17:50:59.576",1,1,3,118,307,15
"0_0_5_4","2023-04-30 17:51:59.289",1,8,1,168,303,15
"0_0_5_4","2023-04-30 17:51:59.289",1,8,911,39,303,15
"0_0_5_4","2023-04-30 17:51:59.289",1,8,3,68,303,15
"0_0_5_36","2023-04-30 17:52:07.305",1,13,3,87,324,16
"0_0_5_36","2023-04-30 17:52:07.305",1,13,911,91,324,16
"0_0_5_36","2023-04-30 17:52:07.305",1,13,1,128,324,16
"11_17_0_7","2023-04-30 17:52:07.754",1,6,3,52,309,15
"11_17_0_7","2023-04-30 17:52:07.754",1,6,911,46,309,15
"11_17_0_7","2023-04-30 17:52:07.754",1,6,1,187,309,15
"0_0_5_2","2023-04-30 17:52:20.639",1,3,1,175,303,15
"0_0_5_2","2023-04-30 17:52:20.639",1,3,911,40,303,15
"0_0_5_2","2023-04-30 17:52:20.639",1,3,3,63,303,15
"0_0_5_22","2023-04-30 17:52:25.474",1,2,911,64,302,15
"0_0_5_22","2023-04-30 17:52:25.474",1,2,1,159,302,15
"0_0_5_22","2023-04-30 17:52:25.474",1,2,3,53,302,15
"0_0_5_10","2023-04-30 17:52:27.449",1,2,1,172,314,15
"0_0_5_10","2023-04-30 17:52:27.449",1,2,911,20,314,15
"0_0_5_10","2023-04-30 17:52:27.449",1,2,3,107,314,15
"0_0_4_14","2023-04-30 17:52:41.595",1,13,1,175,308,15
"0_0_4_14","2023-04-30 17:52:41.595",1,13,911,37,308,15
"0_0_4_14","2023-04-30 17:52:41.595",1,13,3,75,308,15
"0_0_1_22","2023-04-30 17:52:50.602",1,3,1,142,330,16
"0_0_1_22","2023-04-30 17:52:50.602",1,3,911,38,330,16
"0_0_1_22","2023-04-30 17:52:50.602",1,3,3,127,330,16
"0_0_1_16","2023-04-30 17:53:36.876",1,10,1,169,303,15
"0_0_1_16","2023-04-30 17:53:36.876",1,10,3,65,303,15
"0_0_1_16","2023-04-30 17:53:36.876",1,10,911,49,303,15
"3_27_0_502","2023-04-30 17:53:37.342",1,1,3,58,331,16
"3_27_0_502","2023-04-30 17:53:37.342",1,1,1,239,331,16
"3_27_0_502","2023-04-30 17:53:37.342",1,1,911,25,331,16
"0_0_5_10","2023-04-30 17:53:51.337",1,7,3,89,310,15
"0_0_5_10","2023-04-30 17:53:51.337",1,7,911,24,310,15
"0_0_5_10","2023-04-30 17:53:51.337",1,7,1,179,310,15
"9_15_0_501","2023-04-30 17:54:01.856",1,6,3,210,342,17
"9_15_0_501","2023-04-30 17:54:01.856",1,6,1,68,342,17
"9_15_0_501","2023-04-30 17:54:01.856",1,6,911,51,342,17
"0_0_1_16","2023-04-30 17:54:36.106",1,8,3,70,301,15
"0_0_1_16","2023-04-30 17:54:36.106",1,8,1,164,301,15
"0_0_1_16","2023-04-30 17:54:36.106",1,8,911,40,301,15
"0_0_1_3","2023-04-30 17:54:39.954",1,10,1,187,308,15
"0_0_1_3","2023-04-30 17:54:39.954",1,10,911,46,308,15
"0_0_1_3","2023-04-30 17:54:39.954",1,10,3,53,308,15
"0_0_1_7","2023-04-30 17:54:48.828",1,3,1,173,347,17
"0_0_1_7","2023-04-30 17:54:48.828",1,3,3,105,347,17
"0_0_1_7","2023-04-30 17:54:48.828",1,3,911,39,347,17
"12_25_0_1","2023-04-30 17:54:51.689",1,1,911,7,305,15
"12_25_0_1","2023-04-30 17:54:51.689",1,1,3,39,305,15
"12_25_0_1","2023-04-30 17:54:51.689",1,1,1,253,305,15
"0_0_1_16","2023-04-30 17:55:31.301",1,7,1,173,307,15
"0_0_1_16","2023-04-30 17:55:31.301",1,7,3,65,307,15
"0_0_1_16","2023-04-30 17:55:31.301",1,7,911,37,307,15
"0_0_1_22","2023-04-30 17:56:16.069",1,2,1,134,322,16
"0_0_1_22","2023-04-30 17:56:16.069",1,2,911,36,322,16
"0_0_1_22","2023-04-30 17:56:16.069",1,2,3,132,322,16
"0_0_3_20","2023-04-30 17:56:22.184",1,7,911,57,324,16
"0_0_3_20","2023-04-30 17:56:22.184",1,7,1,161,324,16
"0_0_3_20","2023-04-30 17:56:22.184",1,7,3,79,324,16
"0_0_1_1","2023-04-30 17:56:33.036",1,3,1,169,306,15
"0_0_1_1","2023-04-30 17:56:33.036",1,3,3,71,306,15
"0_0_1_1","2023-04-30 17:56:33.036",1,3,911,50,306,15
"3_17_0_2","2023-04-30 17:56:38.002",1,14,911,43,315,15
"3_17_0_2","2023-04-30 17:56:38.002",1,14,1,112,315,15
"3_17_0_2","2023-04-30 17:56:38.002",1,14,3,153,315,15
"0_0_2_2","2023-04-30 17:56:43.799",1,1,3,88,307,15
"0_0_2_2","2023-04-30 17:56:43.799",1,1,1,159,307,15
"0_0_2_2","2023-04-30 17:56:43.799",1,1,911,36,307,15
"0_0_1_1","2023-04-30 17:56:54.732",1,8,3,63,305,15
"0_0_1_1","2023-04-30 17:56:54.732",1,8,1,167,305,15
"0_0_1_1","2023-04-30 17:56:54.732",1,8,911,42,305,15
"0_0_6_4","2023-04-30 17:57:07.091",1,7,3,62,317,15
"0_0_6_4","2023-04-30 17:57:07.091",1,7,911,71,317,15
"0_0_6_4","2023-04-30 17:57:07.091",1,7,1,160,317,15
"3_27_0_502","2023-04-30 17:57:08.024",1,2,1,249,354,17
"3_27_0_502","2023-04-30 17:57:08.024",1,2,911,33,354,17
"3_27_0_502","2023-04-30 17:57:08.024",1,2,3,65,354,17
"0_0_4_8","2023-04-30 17:57:17.773",1,7,3,89,307,15
"0_0_4_8","2023-04-30 17:57:17.773",1,7,1,160,307,15
"0_0_4_8","2023-04-30 17:57:17.773",1,7,911,30,307,15
"0_0_2_6","2023-04-30 17:57:23.5",1,1,911,30,307,15
"0_0_2_6","2023-04-30 17:57:23.5",1,1,3,89,307,15
"0_0_2_6","2023-04-30 17:57:23.5",1,1,1,159,307,15
"4_30_0_1","2023-04-30 17:57:44.194",1,1,911,59,316,15
"4_30_0_1","2023-04-30 17:57:44.194",1,1,1,183,316,15
"4_30_0_1","2023-04-30 17:57:44.194",1,1,3,66,316,15
"0_0_3_34","2023-04-30 17:58:13.301",1,7,1,171,333,16
"0_0_3_34","2023-04-30 17:58:13.301",1,7,3,103,333,16
"0_0_3_34","2023-04-30 17:58:13.301",1,7,911,42,333,16
"12_1_0_501","2023-04-30 17:58:15.201",1,1,1,264,346,17
"12_1_0_501","2023-04-30 17:58:15.201",1,1,3,55,346,17
"12_1_0_501","2023-04-30 17:58:15.201",1,1,911,15,346,17
"0_0_1_2","2023-04-30 17:58:17.439",1,15,1,184,316,15
"0_0_1_2","2023-04-30 17:58:17.439",1,15,911,38,316,15
"0_0_1_2","2023-04-30 17:58:17.439",1,15,3,67,316,15
"0_0_6_4","2023-04-30 17:58:32.695",1,10,1,179,304,15
"0_0_6_4","2023-04-30 17:58:32.695",1,10,911,67,304,15
"0_0_6_4","2023-04-30 17:58:32.695",1,10,3,39,304,15
"0_0_4_16","2023-04-30 17:59:04.541",1,7,911,45,315,15
"0_0_4_16","2023-04-30 17:59:04.541",1,7,3,73,315,15
"0_0_4_16","2023-04-30 17:59:04.541",1,7,1,168,315,15
"0_0_5_10","2023-04-30 17:59:07.849",1,8,911,29,335,16
"0_0_5_10","2023-04-30 17:59:07.849",1,8,3,105,335,16
"0_0_5_10","2023-04-30 17:59:07.849",1,8,1,180,335,16
"6_15_0_501","2023-04-30 17:59:15.581",1,3,3,32,307,15
"6_15_0_501","2023-04-30 17:59:15.581",1,3,911,70,307,15
"6_15_0_501","2023-04-30 17:59:15.581",1,3,1,203,307,15
"0_0_3_7","2023-04-30 17:59:53.907",1,8,911,55,302,15
"0_0_3_7","2023-04-30 17:59:53.907",1,8,3,54,302,15
"0_0_3_7","2023-04-30 17:59:53.907",1,8,1,179,302,15
"0_0_3_34","2023-04-30 17:59:58.919",1,1,3,98,317,15
"0_0_3_34","2023-04-30 17:59:58.919",1,1,1,152,317,15
"0_0_3_34","2023-04-30 17:59:58.919",1,1,911,49,317,15
"11_31_0_2","2023-04-30 17:59:59.919",1,3,1,130,315,15
"11_31_0_2","2023-04-30 17:59:59.919",1,3,911,78,315,15
"11_31_0_2","2023-04-30 17:59:59.919",1,3,3,76,315,15
"0_0_2_6","2023-04-30 18:00:14.391",1,6,911,32,302,15
"0_0_2_6","2023-04-30 18:00:14.391",1,6,1,164,302,15
"0_0_2_6","2023-04-30 18:00:14.391",1,6,3,81,302,15
"0_0_5_28","2023-04-30 18:00:17.417",1,11,3,80,310,15
"0_0_5_28","2023-04-30 18:00:17.417",1,11,911,51,310,15
"0_0_5_28","2023-04-30 18:00:17.417",1,11,1,155,310,15
"0_0_3_26","2023-04-30 18:00:34.124",1,5,911,40,301,15
"0_0_3_26","2023-04-30 18:00:34.124",1,5,3,93,301,15
"0_0_3_26","2023-04-30 18:00:34.124",1,5,1,150,301,15
"3_11_0_2","2023-04-30 18:00:49.744",1,2,911,72,319,15
"3_11_0_2","2023-04-30 18:00:49.744",1,2,3,94,319,15
"3_11_0_2","2023-04-30 18:00:49.744",1,2,1,135,319,15
"0_0_5_13","2023-04-30 18:00:53.958",1,4,3,67,315,15
"0_0_5_13","2023-04-30 18:00:53.958",1,4,1,198,315,15
"0_0_5_13","2023-04-30 18:00:53.958",1,4,911,32,315,15
"0_0_5_28","2023-04-30 18:01:34.024",1,2,3,66,308,15
"0_0_5_28","2023-04-30 18:01:34.024",1,2,1,182,308,15
"0_0_5_28","2023-04-30 18:01:34.024",1,2,911,37,308,15
"8_13_0_501","2023-04-30 18:01:52.531",1,1,1,128,303,15
"8_13_0_501","2023-04-30 18:01:52.531",1,1,3,142,303,15
"8_13_0_501","2023-04-30 18:01:52.531",1,1,911,18,303,15
"0_0_5_9","2023-04-30 18:02:30.757",1,4,911,60,309,15
"0_0_5_9","2023-04-30 18:02:30.757",1,4,1,149,309,15
"0_0_5_9","2023-04-30 18:02:30.757",1,4,3,86,309,15
"0_0_5_6","2023-04-30 18:02:31.919",1,6,1,162,316,15
"0_0_5_6","2023-04-30 18:02:31.919",1,6,3,62,316,15
"0_0_5_6","2023-04-30 18:02:31.919",1,6,911,69,316,15
"3_27_0_504","2023-04-30 18:02:44.133",1,2,911,25,335,16
"3_27_0_504","2023-04-30 18:02:44.133",1,2,3,135,335,16
"3_27_0_504","2023-04-30 18:02:44.133",1,2,1,162,335,16
"0_0_3_31","2023-04-30 18:02:45.365",1,8,1,167,301,15
"0_0_3_31","2023-04-30 18:02:45.365",1,8,3,57,301,15
"0_0_3_31","2023-04-30 18:02:45.365",1,8,911,50,301,15
"3_0_0_501","2023-04-30 18:03:33.341",1,8,1,42,316,15
"3_0_0_501","2023-04-30 18:03:33.341",1,8,3,202,316,15
"3_0_0_501","2023-04-30 18:03:33.341",1,8,911,60,316,15
"3_11_0_2","2023-04-30 18:04:10.209",1,3,1,148,311,15
"3_11_0_2","2023-04-30 18:04:10.209",1,3,3,100,311,15
"3_11_0_2","2023-04-30 18:04:10.209",1,3,911,46,311,15
"8_15_0_1","2023-04-30 18:04:29.73",1,7,3,80,325,16
"8_15_0_1","2023-04-30 18:04:29.73",1,7,911,30,325,16
"8_15_0_1","2023-04-30 18:04:29.73",1,7,1,206,325,16
"3_27_0_3","2023-04-30 18:04:35.027",1,4,1,119,305,15
"3_27_0_3","2023-04-30 18:04:35.027",1,4,911,43,305,15
"3_27_0_3","2023-04-30 18:04:35.027",1,4,3,120,305,15
"12_13_0_1","2023-04-30 18:04:59.399",1,3,3,135,305,15
"12_13_0_1","2023-04-30 18:04:59.399",1,3,1,131,305,15
"12_13_0_1","2023-04-30 18:04:59.399",1,3,911,22,305,15
"0_0_3_14","2023-04-30 18:05:07.109",1,9,3,85,345,17
"0_0_3_14","2023-04-30 18:05:07.109",1,9,1,159,345,17
"0_0_3_14","2023-04-30 18:05:07.109",1,9,911,70,345,17
"5_31_0_501","2023-04-30 18:05:07.726",1,11,3,149,308,15
"5_31_0_501","2023-04-30 18:05:07.726",1,11,1,132,308,15
"5_31_0_501","2023-04-30 18:05:07.726",1,11,911,17,308,15
"3_27_0_503","2023-04-30 18:05:33.415",1,1,911,52,318,15
"3_27_0_503","2023-04-30 18:05:33.415",1,1,1,205,318,15
"3_27_0_503","2023-04-30 18:05:33.415",1,1,3,51,318,15
"0_0_5_29","2023-04-30 18:05:39.636",1,1,3,118,352,17
"0_0_5_29","2023-04-30 18:05:39.636",1,1,1,147,352,17
"0_0_5_29","2023-04-30 18:05:39.636",1,1,911,68,352,17
"0_0_5_25","2023-04-30 18:06:06.706",1,2,1,201,318,15
"0_0_5_25","2023-04-30 18:06:06.706",1,2,911,52,318,15
"0_0_5_25","2023-04-30 18:06:06.706",1,2,3,48,318,15
"0_0_3_30","2023-04-30 18:06:39.097",1,12,911,59,301,15
"0_0_3_30","2023-04-30 18:06:39.097",1,12,3,55,301,15
"0_0_3_30","2023-04-30 18:06:39.097",1,12,1,161,301,15
"4_30_0_1","2023-04-30 18:07:05.054",1,3,911,60,301,15
"4_30_0_1","2023-04-30 18:07:05.054",1,3,1,161,301,15
"4_30_0_1","2023-04-30 18:07:05.054",1,3,3,70,301,15
"1_5_0_501","2023-04-30 18:07:23.251",1,1,1,109,306,15
"1_5_0_501","2023-04-30 18:07:23.251",1,1,911,32,306,15
"1_5_0_501","2023-04-30 18:07:23.251",1,1,3,157,306,15
"8_0_0_3","2023-04-30 18:07:48.61",1,1,3,119,308,15
"8_0_0_3","2023-04-30 18:07:48.61",1,1,1,153,308,15
"8_0_0_3","2023-04-30 18:07:48.61",1,1,911,24,308,15
"0_0_3_19","2023-04-30 18:08:27.955",1,7,3,108,329,16
"0_0_3_19","2023-04-30 18:08:27.955",1,7,1,177,329,16
"0_0_3_19","2023-04-30 18:08:27.955",1,7,911,25,329,16
"0_0_6_4","2023-04-30 18:08:46.191",1,3,911,54,307,15
"0_0_6_4","2023-04-30 18:08:46.191",1,3,3,61,307,15
"0_0_6_4","2023-04-30 18:08:46.191",1,3,1,171,307,15
"3_21_0_1","2023-04-30 18:09:00.142",1,6,911,37,307,15
"3_21_0_1","2023-04-30 18:09:00.142",1,6,3,106,307,15
"3_21_0_1","2023-04-30 18:09:00.142",1,6,1,146,307,15
"0_0_1_22","2023-04-30 18:09:41.893",1,5,3,120,327,16
"0_0_1_22","2023-04-30 18:09:41.893",1,5,1,141,327,16
"0_0_1_22","2023-04-30 18:09:41.893",1,5,911,43,327,16
"0_0_6_4","2023-04-30 18:09:44.27",1,5,1,169,307,15
"0_0_6_4","2023-04-30 18:09:44.27",1,5,911,62,307,15
"0_0_6_4","2023-04-30 18:09:44.27",1,5,3,62,307,15
"8_0_0_3","2023-04-30 18:09:58.709",1,10,1,145,307,15
"8_0_0_3","2023-04-30 18:09:58.709",1,10,3,125,307,15
"8_0_0_3","2023-04-30 18:09:58.709",1,10,911,26,307,15
"0_0_5_20","2023-04-30 18:10:00.256",1,7,911,51,309,15
"0_0_5_20","2023-04-30 18:10:00.256",1,7,3,55,309,15
"0_0_5_20","2023-04-30 18:10:00.256",1,7,1,176,309,15
"11_17_0_511","2023-04-30 18:10:02.881",1,12,911,77,305,15
"11_17_0_511","2023-04-30 18:10:02.881",1,12,1,149,305,15
"11_17_0_511","2023-04-30 18:10:02.881",1,12,3,60,305,15
"3_27_0_504","2023-04-30 18:10:24.534",1,1,911,47,333,16
"3_27_0_504","2023-04-30 18:10:24.534",1,1,1,165,333,16
"3_27_0_504","2023-04-30 18:10:24.534",1,1,3,108,333,16
"0_0_5_16","2023-04-30 18:11:37.376",1,8,1,157,307,15
"0_0_5_16","2023-04-30 18:11:37.376",1,8,911,46,307,15
"0_0_5_16","2023-04-30 18:11:37.376",1,8,3,83,307,15
"0_0_2_3","2023-04-30 18:11:41.44",1,7,911,57,303,15
"0_0_2_3","2023-04-30 18:11:41.44",1,7,1,155,303,15
"0_0_2_3","2023-04-30 18:11:41.44",1,7,3,69,303,15
"8_0_0_3","2023-04-30 18:12:09.818",1,8,1,156,312,15
"8_0_0_3","2023-04-30 18:12:09.818",1,8,3,115,312,15
"8_0_0_3","2023-04-30 18:12:09.818",1,8,911,30,312,15
"0_0_4_20","2023-04-30 18:12:20.013",1,9,911,24,305,15
"0_0_4_20","2023-04-30 18:12:20.013",1,9,1,175,305,15
"0_0_4_20","2023-04-30 18:12:20.013",1,9,3,93,305,15
"0_0_3_27","2023-04-30 18:13:12.493",1,24,3,72,304,15
"0_0_3_27","2023-04-30 18:13:12.493",1,24,1,146,304,15
"0_0_3_27","2023-04-30 18:13:12.493",1,24,911,58,304,15
"0_0_3_10","2023-04-30 18:13:32.818",1,4,911,44,304,15
"0_0_3_10","2023-04-30 18:13:32.818",1,4,1,142,304,15
"0_0_3_10","2023-04-30 18:13:32.818",1,4,3,93,304,15
"0_0_4_20","2023-04-30 18:14:07.838",1,6,911,23,301,15
"0_0_4_20","2023-04-30 18:14:07.838",1,6,3,82,301,15
"0_0_4_20","2023-04-30 18:14:07.838",1,6,1,171,301,15
"1_1_0_1","2023-04-30 18:15:03.952",1,6,911,43,304,15
"1_1_0_1","2023-04-30 18:15:03.952",1,6,1,161,304,15
"1_1_0_1","2023-04-30 18:15:03.952",1,6,3,91,304,15
"8_9_0_2","2023-04-30 18:15:13.364",1,2,3,78,310,15
"8_9_0_2","2023-04-30 18:15:13.364",1,2,911,19,310,15
"8_9_0_2","2023-04-30 18:15:13.364",1,2,1,203,310,15
"12_13_0_1","2023-04-30 18:15:14.406",1,4,1,128,325,16
"12_13_0_1","2023-04-30 18:15:14.406",1,4,3,153,325,16
"12_13_0_1","2023-04-30 18:15:14.406",1,4,911,29,325,16
"0_0_5_28","2023-04-30 18:15:25.162",1,14,911,37,306,15
"0_0_5_28","2023-04-30 18:15:25.162",1,14,1,175,306,15
"0_0_5_28","2023-04-30 18:15:25.162",1,14,3,78,306,15
"11_29_0_10","2023-04-30 18:15:35.115",1,1,1,124,313,15
"11_29_0_10","2023-04-30 18:15:35.115",1,1,911,68,313,15
"11_29_0_10","2023-04-30 18:15:35.115",1,1,3,101,313,15
"8_15_0_1","2023-04-30 18:15:35.878",1,8,1,170,306,15
"8_15_0_1","2023-04-30 18:15:35.878",1,8,3,106,306,15
"8_15_0_1","2023-04-30 18:15:35.878",1,8,911,23,306,15
"11_9_0_501","2023-04-30 18:15:51.118",1,1,911,57,303,15
"11_9_0_501","2023-04-30 18:15:51.118",1,1,1,133,303,15
"11_9_0_501","2023-04-30 18:15:51.118",1,1,3,98,303,15
"4_30_0_1","2023-04-30 18:16:20.304",1,4,1,162,321,16
"4_30_0_1","2023-04-30 18:16:20.304",1,4,911,73,321,16
"4_30_0_1","2023-04-30 18:16:20.304",1,4,3,70,321,16
"0_0_3_10","2023-04-30 18:16:21.725",1,1,911,45,312,15
"0_0_3_10","2023-04-30 18:16:21.725",1,1,1,144,312,15
"0_0_3_10","2023-04-30 18:16:21.725",1,1,3,100,312,15
"0_0_2_3","2023-04-30 18:16:29.794",1,1,1,154,306,15
"0_0_2_3","2023-04-30 18:16:29.794",1,1,911,40,306,15
"0_0_2_3","2023-04-30 18:16:29.794",1,1,3,73,306,15
"11_9_0_502","2023-04-30 18:16:41.354",1,4,1,193,312,15
"11_9_0_502","2023-04-30 18:16:41.354",1,4,911,43,312,15
"11_9_0_502","2023-04-30 18:16:41.354",1,4,3,53,312,15
"0_0_1_1","2023-04-30 18:17:03.471",1,2,911,46,302,15
"0_0_1_1","2023-04-30 18:17:03.471",1,2,3,81,302,15
"0_0_1_1","2023-04-30 18:17:03.471",1,2,1,158,302,15
"0_0_4_4","2023-04-30 18:17:28.806",1,8,3,93,316,15
"0_0_4_4","2023-04-30 18:17:28.806",1,8,1,176,316,15
"0_0_4_4","2023-04-30 18:17:28.806",1,8,911,17,316,15
"0_0_3_8","2023-04-30 18:17:42.985",1,8,911,31,377,18
"0_0_3_8","2023-04-30 18:17:42.985",1,8,1,230,377,18
"0_0_3_8","2023-04-30 18:17:42.985",1,8,3,93,377,18
"15_0_0_4","2023-04-30 18:17:47.64",1,17,1,137,347,17
"15_0_0_4","2023-04-30 18:17:47.64",1,17,3,75,347,17
"15_0_0_4","2023-04-30 18:17:47.64",1,17,911,118,347,17
"0_0_3_31","2023-04-30 18:17:50.339",1,1,911,53,302,15
"0_0_3_31","2023-04-30 18:17:50.339",1,1,3,42,302,15
"0_0_3_31","2023-04-30 18:17:50.339",1,1,1,169,302,15
"0_0_5_28","2023-04-30 18:18:15.971",1,10,3,87,312,15
"0_0_5_28","2023-04-30 18:18:15.971",1,10,1,163,312,15
"0_0_5_28","2023-04-30 18:18:15.971",1,10,911,35,312,15
"3_11_0_1","2023-04-30 18:18:26.317",1,17,1,130,305,15
"3_11_0_1","2023-04-30 18:18:26.317",1,17,3,110,305,15
"3_11_0_1","2023-04-30 18:18:26.317",1,17,911,46,305,15
"0_0_4_13","2023-04-30 18:18:39.198",1,4,3,102,307,15
"0_0_4_13","2023-04-30 18:18:39.198",1,4,1,165,307,15
"0_0_4_13","2023-04-30 18:18:39.198",1,4,911,21,307,15
"0_0_3_30","2023-04-30 18:19:04.276",1,4,3,79,308,15
"0_0_3_30","2023-04-30 18:19:04.276",1,4,911,26,308,15
"0_0_3_30","2023-04-30 18:19:04.276",1,4,1,186,308,15
"0_0_3_30","2023-04-30 18:19:09.274",1,14,911,36,302,15
"0_0_3_30","2023-04-30 18:19:09.274",1,14,1,175,302,15
"0_0_3_30","2023-04-30 18:19:09.274",1,14,3,69,302,15
"0_0_1_2","2023-04-30 18:19:14.312",1,1,1,162,309,15
"0_0_1_2","2023-04-30 18:19:14.312",1,1,3,62,309,15
"0_0_1_2","2023-04-30 18:19:14.312",1,1,911,51,309,15
"3_11_0_501","2023-04-30 18:19:31.241",1,4,3,107,304,15
"3_11_0_501","2023-04-30 18:19:31.241",1,4,911,44,304,15
"3_11_0_501","2023-04-30 18:19:31.241",1,4,1,139,304,15
"11_0_0_504","2023-04-30 18:19:57.77",1,3,1,153,303,15
"11_0_0_504","2023-04-30 18:19:57.77",1,3,911,60,303,15
"11_0_0_504","2023-04-30 18:19:57.77",1,3,3,62,303,15
"0_0_1_22","2023-04-30 18:20:33.367",1,4,1,136,305,15
"0_0_1_22","2023-04-30 18:20:33.367",1,4,3,124,305,15
"0_0_1_22","2023-04-30 18:20:33.367",1,4,911,24,305,15
"0_0_3_27","2023-04-30 18:20:58.147",1,19,1,167,308,15
"0_0_3_27","2023-04-30 18:20:58.147",1,19,3,51,308,15
"0_0_3_27","2023-04-30 18:20:58.147",1,19,911,64,308,15
"3_11_0_1","2023-04-30 18:21:23",1,9,911,48,304,15
"3_11_0_1","2023-04-30 18:21:23",1,9,1,141,304,15
"3_11_0_1","2023-04-30 18:21:23",1,9,3,106,304,15
"0_0_3_27","2023-04-30 18:21:26.066",1,21,1,170,318,15
"0_0_3_27","2023-04-30 18:21:26.066",1,21,3,64,318,15
"0_0_3_27","2023-04-30 18:21:26.066",1,21,911,62,318,15
"0_0_1_20","2023-04-30 18:21:51.21",1,6,1,149,310,15
"0_0_1_20","2023-04-30 18:21:51.21",1,6,3,100,310,15
"0_0_1_20","2023-04-30 18:21:51.21",1,6,911,33,310,15
"0_0_3_27","2023-04-30 18:22:17.77",1,22,1,180,304,15
"0_0_3_27","2023-04-30 18:22:17.77",1,22,3,47,304,15
"0_0_3_27","2023-04-30 18:22:17.77",1,22,911,59,304,15
"3_0_0_501","2023-04-30 18:22:40.656",1,7,911,42,321,16
"3_0_0_501","2023-04-30 18:22:40.656",1,7,1,50,321,16
"3_0_0_501","2023-04-30 18:22:40.656",1,7,3,215,321,16
"0_0_3_26","2023-04-30 18:22:49.356",1,2,3,100,304,15
"0_0_3_26","2023-04-30 18:22:49.356",1,2,1,152,304,15
"0_0_3_26","2023-04-30 18:22:49.356",1,2,911,21,304,15
"12_25_0_1","2023-04-30 18:22:55.045",1,2,3,30,380,19
"12_25_0_1","2023-04-30 18:22:55.045",1,2,1,333,380,19
"12_25_0_1","2023-04-30 18:22:55.045",1,2,911,14,380,19
"0_0_3_7","2023-04-30 18:23:47.059",1,13,911,65,308,15
